testart;pdf_datei;document_loader;chunk_size_konstant;overlap_konstant;top_k_konstant;embedding_modell;llm_modell;temperature;wiederholung;frage_id;frage;expected_keywords;referenzantwort;generierte_antwort;antwortgenauigkeit_punkte_0_1_2;bewertungsbegruendung;abgerufene_chunks;kontext_zeichen;antwort_zeichen;antwort_woerter;retrieval_laufzeit_sekunden;generierungs_laufzeit_sekunden;input_tokens;output_tokens;gesamt_tokens;input_kosten;output_kosten;gesamt_kosten;waehrung
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.0;1;1;Was ist das Ohmsche Gesetz?;spannung, strom, widerstand;Das Ohmsche Gesetz beschreibt den Zusammenhang zwischen Spannung, Stromstärke und Widerstand. Es wird durch U = R mal I dargestellt.;Die Information zum Ohmschen Gesetz ist im Kontext nicht vorhanden.;;;5;8518;67;10;0.389694;0.8581;2522;13;2535;0.0010088;2.08e-05;0.0010296;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.0;1;2;Wie wird der elektrische Widerstand berechnet?;widerstand, spannung, stromstärke;Der elektrische Widerstand wird berechnet, indem die Spannung durch die Stromstärke geteilt wird: R = U / I.;Die Information zur Berechnung des elektrischen Widerstands ist im Kontext nicht vorhanden.;;;5;8648;91;12;0.15091;1.0261;2568;16;2584;0.0010272;2.56e-05;0.0010528;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.0;1;3;Was besagt die Kirchhoffsche Knotenregel?;knotenregel, summe, ströme;;Die Information zur Kirchhoffschen Knotenregel ist im vorgegebenen Kontext nicht enthalten.;;;5;8518;91;11;0.142053;0.8223;2525;19;2544;0.00101;3.04e-05;0.0010404;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.2;1;1;Was ist das Ohmsche Gesetz?;spannung, strom, widerstand;Das Ohmsche Gesetz beschreibt den Zusammenhang zwischen Spannung, Stromstärke und Widerstand. Es wird durch U = R mal I dargestellt.;Die Information zum Ohmschen Gesetz ist im Kontext nicht vorhanden.;;;5;8518;67;10;0.389694;1.9415;2522;13;2535;0.0010088;2.08e-05;0.0010296;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.2;1;2;Wie wird der elektrische Widerstand berechnet?;widerstand, spannung, stromstärke;Der elektrische Widerstand wird berechnet, indem die Spannung durch die Stromstärke geteilt wird: R = U / I.;Die Information zur Berechnung des elektrischen Widerstands ist im Kontext nicht vorhanden.;;;5;8648;91;12;0.15091;0.7589;2568;16;2584;0.0010272;2.56e-05;0.0010528;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.2;1;3;Was besagt die Kirchhoffsche Knotenregel?;knotenregel, summe, ströme;;Die Information zur Kirchhoffschen Knotenregel ist im gegebenen Kontext nicht vorhanden.;;;5;8518;88;11;0.142053;0.7797;2525;18;2543;0.00101;2.88e-05;0.0010388;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.4;1;1;Was ist das Ohmsche Gesetz?;spannung, strom, widerstand;Das Ohmsche Gesetz beschreibt den Zusammenhang zwischen Spannung, Stromstärke und Widerstand. Es wird durch U = R mal I dargestellt.;Die Information zum Ohmschen Gesetz ist im vorliegenden Kontext nicht vorhanden.;;;5;8518;80;11;0.389694;0.7614;2522;15;2537;0.0010088;2.4e-05;0.0010328;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.4;1;2;Wie wird der elektrische Widerstand berechnet?;widerstand, spannung, stromstärke;Der elektrische Widerstand wird berechnet, indem die Spannung durch die Stromstärke geteilt wird: R = U / I.;Die Information zur Berechnung des elektrischen Widerstands ist im Kontext nicht vorhanden.;;;5;8648;91;12;0.15091;0.8758;2568;16;2584;0.0010272;2.56e-05;0.0010528;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.4;1;3;Was besagt die Kirchhoffsche Knotenregel?;knotenregel, summe, ströme;;Die Information zur Kirchhoffschen Knotenregel ist im gegebenen Kontext nicht vorhanden.;;;5;8518;88;11;0.142053;1.2291;2525;18;2543;0.00101;2.88e-05;0.0010388;USD
temperature;data/Elektrotechnik 3.pdf;text;250;50;5;text-embedding-3-small;gpt-4.1-mini;0.6;1;1;Was ist das Ohmsche Gesetz?;spannung, strom, widerstand;Das Ohmsche Gesetz beschreibt den Zusammenhang zwischen Spannung, Stromstärke und Widerstand. Es wird durch U = R mal I dargestellt.;Die Information zum Ohmschen Gesetz ist im Kontext nicht vorhanden.;;;5;8518;67;10;0.389694;0.9393;2522;13;2535;0.0010088;2.08e-05;0.0010296;USD
